Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Variacao 1/0,mm_5,mm_10,retorno_diario,retorno_acumulado,volatilidade_5d,vol_21d,vol_historica_anual,vol_historica
2022-12-22,107.552,107.436,108.383,106.51,"11,49M","0,11%",1,105.88900000000001,105.33319999999999,0.0011076671041485575,-0.09294696094389099,0.012060025015169387,0.01543754770891546,0.2450634725429115,0.015786401225103774
2022-12-23,109.698,107.552,109.994,107.552,"12,85M","2,00%",0,107.2574,105.551,0.019953138946742,-0.0748484056235399,0.009082075763006604,0.014832906349472999,0.23546508852609888,0.015786401225103774
2022-12-26,108.738,109.699,109.755,108.309,"5,22M","-0,87%",0,108.05699999999999,105.8905,-0.0087512990209484,-0.08294468386563547,0.012530395836919938,0.01385535023182211,0.21994686624661458,0.015786401225103774
2022-12-27,108.578,108.739,109.353,107.418,"11,16M","-0,15%",1,108.3998,106.3943,-0.0014714267321451757,-0.08429406357265135,0.010656097014695505,0.0138534858125907,0.21991726950885931,0.015786401225103774
2022-12-28,110.237,108.578,110.536,108.578,"11,19M","1,53%",0,108.9606,107.04339999999999,0.01527933835583628,-0.07030268273552998,0.011991030820888624,0.013579965614062196,0.2155752709657027,0.015786401225103774
2022-12-29,109.735,110.237,111.178,109.56,"13,39M","-0,46%",0,109.3972,107.6431,-0.004553824940809359,-0.0745363615662924,0.012721876831956202,0.013196188959127043,0.2094830054379987,0.015786401225103774
2023-01-02,106.376,109.734,109.734,105.981,"8,13M","-3,06%",0,108.7328,107.99510000000001,-0.030610106164851603,-0.10286490179045815,0.016497229368154672,0.014452351389048934,0.22942396581325425,0.015786401225103774
2023-01-03,104.166,106.377,106.684,103.852,"14,47M","-2,08%",1,107.8184,107.93769999999999,-0.020775362863803992,-0.12150320899361577,0.017818138403637808,0.014787111432378805,0.23473811675444653,0.015786401225103774
2023-01-04,105.334,104.167,105.627,103.915,"14,45M","1,12%",1,107.16959999999999,107.7847,0.011212871762379395,-0.11165273713239943,0.01984371529868411,0.014422174065778722,0.22894491565761477,0.015786401225103774
2023-01-05,107.641,105.336,107.743,105.333,"15,51M","2,19%",1,106.65039999999999,107.80550000000001,0.021901760115442315,-0.09219636848186341,0.02174025168053564,0.015211120519832446,0.24146905234864915,0.015786401225103774
2023-01-06,108.964,107.642,109.433,107.642,"12,63M","1,23%",1,106.4962,107.94669999999999,0.012290855714829796,-0.08103868502947542,0.02301044865635993,0.015323757113463071,0.2432571028402816,0.015786401225103774
2023-01-09,109.13,108.964,109.938,108.134,"12,05M","0,15%",1,107.047,107.88989999999998,0.0015234389339597865,-0.07963870358344649,0.01622972206610461,0.01483580510460198,0.23551110483719662,0.015786401225103774
2023-01-10,110.817,109.129,111.193,108.478,"13,70M","1,55%",1,108.37719999999999,108.0978,0.015458627325208418,-0.06541118129759727,0.007404886450161255,0.015169874835876592,0.2408142974142374,0.015786401225103774
2023-01-11,112.517,110.816,112.552,110.752,"14,46M","1,53%",0,109.81379999999999,108.4917,0.0153406065856323,-0.05107402191055299,0.007458547784786912,0.014589899760756305,0.23160747852193173,0.015786401225103774
2023-01-12,111.85,112.516,113.129,110.982,"19,84M","-0,59%",0,110.6556,108.65299999999999,-0.005927993103264417,-0.05669924856417563,0.009533052253951388,0.014001717610496654,0.22227037635076613,0.015786401225103774
2023-01-13,110.916,111.843,111.847,110.428,"15,94M","-0,84%",0,111.046,108.7711,-0.008350469378632042,-0.06457625260388111,0.011361964739119504,0.014247356134518208,0.22616976703263414,0.015786401225103774
2023-01-16,109.213,110.908,110.908,108.753,"12,51M","-1,54%",1,111.0626,109.0548,-0.015353961556493267,-0.07893871286043197,0.014271007819117101,0.014806608465479576,0.23504762255977593,0.015786401225103774
2023-01-17,111.439,109.214,111.577,109.214,"14,36M","2,04%",1,111.18699999999998,109.78209999999999,0.020382188933551815,-0.06016546768657283,0.01568410730434954,0.015067232731295628,0.23918490451764432,0.015786401225103774
2023-01-18,112.228,111.442,113.306,111.441,"14,13M","0,71%",1,111.1292,110.47149999999999,0.007080106605407366,-0.05351133900635052,0.014188333414113487,0.014726520368921628,0.23377626344096278,0.015786401225103774
2023-01-19,112.922,112.219,113.172,111.307,"15,59M","0,62%",0,111.3436,110.99960000000002,0.0061838400399187865,-0.04765840452716885,0.014049095958310224,0.014231519229960658,0.22591836396665607,0.015786401225103774
2023-01-20,112.041,112.922,113.025,111.735,"15,44M","-0,78%",0,111.56859999999999,111.30729999999998,-0.0078018455216875005,-0.05508842653892532,0.013949954690950192,0.014398957091707553,0.22857635762008827,0.015786401225103774
2023-01-23,111.737,112.041,113.061,111.542,"13,70M","-0,27%",1,112.07339999999999,111.56799999999998,-0.002713292455440386,-0.057652247982255656,0.010782202376935843,0.014436228292298861,0.2291680195870647,0.015786401225103774
2023-01-24,113.028,111.746,113.04,111.669,"11,55M","1,16%",1,112.3912,111.78909999999999,0.011553916786740448,-0.04676444047127071,0.00789268551735225,0.014022008372066817,0.2225924822049267,0.015786401225103774
2023-01-25,114.27,113.028,114.426,111.927,"11,41M","1,10%",0,112.79959999999998,111.9644,0.010988427646246857,-0.0362898804955597,0.00857876330670319,0.013960609308010477,0.22161780227957548,0.015786401225103774
2023-01-26,114.178,114.271,114.835,113.591,"10,92M","-0,08%",0,113.05080000000001,112.1972,-0.0008051107027216009,-0.03706577382709386,0.008630330256859277,0.013951984357755742,0.2214808854389095,0.015786401225103774
2023-01-27,112.316,114.178,114.191,112.044,"10,61M","-1,63%",0,113.1058,112.33720000000001,-0.01630787016763291,-0.05276918016749166,0.011475189708634372,0.014204717988475769,0.22549290744787526,0.015786401225103774
2023-01-30,112.273,112.319,112.92,111.824,"11,27M","-0,04%",1,113.213,112.64320000000001,-0.0003828483920368386,-0.05313182596375232,0.011356567237919897,0.014152440824609057,0.2246630331988407,0.015786401225103774
2023-01-31,113.431,112.273,113.691,112.145,"12,90M","1,03%",0,113.2936,112.8424,0.010314144985882567,-0.04336569033422444,0.011078924535455463,0.012244348065989029,0.19437299969232996,0.015786401225103774
2023-02-01,112.074,113.43,113.598,110.729,"17,82M","-1,20%",0,112.85439999999998,112.827,-0.011963219931059421,-0.05481011697435334,0.010523024185382502,0.01151315216948126,0.18276562468134708,0.015786401225103774
2023-02-02,110.141,112.072,112.943,109.747,"15,24M","-1,72%",0,112.047,112.5489,-0.01724753288006131,-0.07111231055973943,0.011829827247343258,0.012219863144004178,0.19398431360567356,0.015786401225103774
2023-02-03,108.523,110.141,110.57,108.185,"13,24M","-1,47%",1,111.2884,112.1971,-0.014690260665873867,-0.08475791284693812,0.011534075674450727,0.011873785488098995,0.18849050113462576,0.015786401225103774
2023-02-06,108.722,108.518,108.744,107.416,"11,51M","0,18%",0,110.5782,111.89559999999999,0.0018337126692038463,-0.0830796218363371,0.011879512700568981,0.011567969688760562,0.1836358258223622,0.015786401225103774
2023-02-07,107.83,108.727,109.037,107.234,"12,96M","-0,82%",1,109.458,111.3758,-0.008204411250712806,-0.09060241370295086,0.007443548204055536,0.011696203287270663,0.185671471090646,0.015786401225103774
2023-02-08,109.951,107.832,110.175,107.83,"13,84M","1,97%",0,109.03339999999999,110.94389999999999,0.019669850690902324,-0.07271469896182103,0.015011489352213771,0.012015343193193142,0.19073766003769055,0.015786401225103774
2023-02-09,108.008,109.952,110.046,107.767,"12,96M","-1,77%",1,108.60679999999999,110.3269,-0.017671508217296794,-0.0891012287788957,0.015107838874065653,0.012025585607581669,0.19090025332547203,0.015786401225103774
2023-02-10,108.078,108.002,108.647,107.62,"14,46M","0,07%",1,108.5178,109.9031,0.0006481001407303566,-0.08851087515707612,0.013851950334618815,0.012000413930537832,0.1905006653402295,0.015786401225103774
2023-02-13,108.836,108.074,109.193,107.42,"9,97M","0,70%",0,108.5406,109.55940000000001,0.0070134532467291955,-0.08211818879508825,0.014280077608275217,0.012034255333852927,0.19103788096336455,0.015786401225103774
2023-02-14,107.849,108.839,109.564,107.557,"11,89M","-0,91%",1,108.5444,109.0012,-0.009068690506817578,-0.09044217486274275,0.014413232044436545,0.011729326127121263,0.18619727987241144,0.015786401225103774
2023-02-15,109.6,107.849,110.21,107.267,"15,50M","1,62%",1,108.4742,108.7538,0.01623566282487543,-0.07567490069408722,0.013286385398872247,0.011389617301316123,0.18080456944488646,0.015786401225103774
2023-02-16,109.941,109.599,110.437,108.378,"13,00M","0,31%",0,108.8608,108.7338,0.003111313868613186,-0.07279903519350939,0.009229831530258923,0.01128599459094552,0.17915960991397195,0.015786401225103774
2023-02-17,109.177,109.941,109.941,108.968,"10,06M","-0,70%",0,109.0806,108.7992,-0.006949181833892704,-0.07924232329451042,0.010387542104911284,0.011236473235317415,0.1783734827644994,0.015786401225103774
2023-02-22,107.152,109.174,109.174,106.72,"9,36M","-1,85%",1,108.7438,108.6422,-0.018547862645062696,-0.0963204102114309,0.013243020661175709,0.011767805512707669,0.1868081211815966,0.015786401225103774
2023-02-23,107.593,107.152,108.663,106.731,"11,46M","0,41%",0,108.6926,108.6185,0.004115648797969218,-0.0926011823939682,0.01305471324002892,0.011842858917455526,0.18799955704566562,0.015786401225103774
2023-02-24,105.798,107.582,107.611,105.36,"10,22M","-1,67%",0,107.93220000000001,108.2032,-0.016683241474817145,-0.10773953598205321,0.010640920545483079,0.011862060197037522,0.18830436790943472,0.015786401225103774
2023-02-27,105.711,105.807,106.402,105.227,"9,57M","-0,08%",0,107.0862,107.97349999999999,-0.000822321783020552,-0.10847326119774314,0.009821157594814776,0.01143416583821,0.18151175554424437,0.015786401225103774
2023-02-28,104.932,105.706,106.794,104.932,"15,67M","-0,74%",0,106.23719999999999,107.65889999999999,-0.0073691479600040966,-0.11504305364627687,0.009814097041941092,0.011442562695080484,0.18164505151468782,0.015786401225103774
2023-03-01,104.385,104.933,105.497,103.105,"19,85M","-0,52%",0,105.68379999999999,107.21379999999999,-0.00521289978271644,-0.1196562455196376,0.007786453395491188,0.011094318553632939,0.17611684715185535,0.015786401225103774
2023-03-02,103.326,104.375,104.912,103.321,"14,74M","-1,01%",1,104.83040000000001,106.7615,-0.010145135795373017,-0.12858745245544945,0.005909196696260797,0.011164890062773943,0.17723713512885708,0.015786401225103774
2023-03-03,103.866,103.326,104.44,103.323,"13,10M","0,52%",1,104.444,106.1881,0.005226177341617788,-0.1240332959442706,0.006025834365041129,0.010893201980065034,0.17292422052269077,0.015786401225103774
2023-03-06,104.7,103.865,105.171,103.17,"14,28M","0,80%",0,104.24180000000001,105.66400000000002,0.00802957656981107,-0.11699965422144998,0.008035046355957401,0.01104690649228031,0.17536420401095143,0.015786401225103774
2023-03-07,104.228,104.7,105.179,103.48,"12,58M","-0,45%",1,104.101,105.1691,-0.004508118433619979,-0.12098032435714712,0.007639842731726605,0.010575350614908467,0.16787848652617082,0.015786401225103774
